origin	sha256	bytes	type	destination	action	date	notes
_inbox/kimi-claw/kimi claw/downloads.zip!downloads/19ef45ce-9b02-834b-8000-0000f2c9bb68_job_007.md	58c1230076b5a9e704a7f371310cab1412b6a6d8eb0c6e7dbabe9eb8daddf761	64075	libro (estrazione)	04_KNOWLEDGE/Books/Seivewright_Basics-Fashion-Research.md	copy	2026-06-30	estrazione OCR (rumore presente; link 'artifacts/' non risolvibili) — Simon Seivewright, Basics Fashion: Research
_inbox/kimi-claw/kimi claw/downloads.zip!downloads/19ef45d4-dfb2-8d69-8000-0000f39717fb_job_002.md	d3a7e71525466cb904270439b15905d7dbef6c715d841a3aafeef3e92ddc1af0	175765	libro (estrazione)	04_KNOWLEDGE/Books/Sennett_The-Craftsman.md	copy	2026-06-30	estrazione OCR (rumore presente; link 'artifacts/' non risolvibili) — Richard Sennett, The Craftsman
_inbox/kimi-claw/kimi claw/downloads.zip!downloads/19ef45d9-dbc2-8b11-8000-000073e6d5f9_job_003.md	c711205b9cf890f3be7a90524ee8361511e5c6516a09cf9722e175d5e3fff905	21551	libro (estrazione)	04_KNOWLEDGE/Books/Lobach_Disegno-Industriale.md	copy	2026-06-30	estrazione OCR (rumore presente; link 'artifacts/' non risolvibili) — Bernd Löbach, Disegno industriale
_inbox/kimi-claw/kimi claw/downloads.zip!downloads/19ef45e0-7112-852e-8000-0000d6c10950_job_004.md	44147bb80bc0a9bbb2a8edac19e0906e95360d68c2d9426883d19819ac07ff63	126307	libro (estrazione)	04_KNOWLEDGE/Books/Albers_Interaction-of-Color.md	copy	2026-06-30	estrazione OCR (rumore presente; link 'artifacts/' non risolvibili) — Josef Albers, Interaction of Color
_inbox/kimi-claw/kimi claw/downloads.zip!downloads/19ef4833-9052-86f2-8000-000029fa1c95_job_006.md	ae09b6a65558e75ce2a492d4b24a6bd589b0b6468db03388b17fc94066ed0e74	92764	libro (estrazione)	04_KNOWLEDGE/Books/Benjamin_Opera-Arte-Riproducibilita.md	copy	2026-06-30	estrazione OCR (rumore presente; link 'artifacts/' non risolvibili) — Walter Benjamin, L'opera d'arte...
_inbox/kimi-claw/kimi claw/downloads.zip!downloads/19ef4838-1cc2-8c6a-8000-0000eb99b3d0_job_001.md	ec6a0c1cc9e0bd7046fb72e396e9528d8f5c2ab301206fd2a5e1d447f2ee0eaf	452154	libro (estrazione)	04_KNOWLEDGE/Books/Hollander_Sex-and-Suits.md	copy	2026-06-30	estrazione OCR (rumore presente; link 'artifacts/' non risolvibili) — Anne Hollander, Sex and Suits
_inbox/kimi-claw/kimi claw/downloads.zip!downloads/19ef48fd-7912-8add-8000-0000dbfb87c2_job_008.md	c62b06341d3981ce541a0f72bedacd7daa31a58006dee1242b2db0d21b5f7646	795792	libro (estrazione)	04_KNOWLEDGE/Books/Csikszentmihalyi_Flow.md	copy	2026-06-30	estrazione OCR (rumore presente; link 'artifacts/' non risolvibili) — M. Csikszentmihalyi, Flow
_inbox/kimi-claw/kimi claw/downloads.zip!downloads/19ef4902-3ec2-8eca-8000-0000b3a5e9ea_job_009.md	5cb4a7fabd6482d8b97523d7216ac2e5e5cc326f858361812f52d2abad95f0cf	315281	libro (estrazione)	04_KNOWLEDGE/Books/Barthes_Mythologies.md	copy	2026-06-30	estrazione OCR (rumore presente; link 'artifacts/' non risolvibili) — Roland Barthes, Mythologies [CORPUS: ESCLUSO, vedi Decisions CORPUS-02]
_inbox/kimi-claw/kimi claw/downloads.zip!downloads/19ed16c4-13d2-8f0e-8000-00002a0ef824_descrizione_tesi_md_.md	86ab5addbe715f58fe8ac1c1a7e51644ce863e56f8fa2ec18a797edae8aa2322	1922	documento progetto/knowledge	03_PROJECT/Thesis-Description.md	copy	2026-06-30	descrizione tesi (doc fondativo)
_inbox/kimi-claw/kimi claw/downloads.zip!downloads/19ed1db4-1dc2-8f89-8000-00009dc952de_GUIDA_REDAZIONE_TESI.md	e607ba6c4defbf663b6c427cb6707d7ebbf39e0528330938e70619c8d1cfc528	88359	documento progetto/knowledge	04_KNOWLEDGE/University/Guida-Redazione-Tesi.md	copy	2026-06-30	guida università norme redazionali
_inbox/kimi-claw/kimi claw/downloads.zip!downloads/19ed5991-9c92-85d6-8000-0000e2d8599a_Tesi_bibliografia_completa.md	f11dc29c7f6939e892d95dbfe7ad21c2cb11c78afa9e60818334fce8e080bbdb	7342	documento progetto/knowledge	04_KNOWLEDGE/Bibliography/Tesi-bibliografia-completa.md	copy	2026-06-30	bibliografia (sistema citazione, autrice Ilaria Marelli)
_inbox/kimi-claw/kimi claw/downloads.zip!downloads/19efd983-51b2-8a86-8000-00000c790eb0_user_pasted_clipboard_long_content_as_file_Il_processo_creativo_nel_design_puo_ess1.txt	a05ccbafa9eee3a0d91b8868e91184430924a1b720777eecbd79020ca6338d03	4117	documento progetto/knowledge	04_KNOWLEDGE/References/bozza-1.1-processo-creativo.md	copy	2026-06-30	bozza testo §1.1 (Löbach/Csikszentmihalyi)
_inbox/kimi-claw/kimi claw/downloads.zip!downloads/19ed4ce1-ac92-85b6-8000-000050c77f05_prima_revisione_con_correzione_tesi_.pdf	5f96efc4849a050ada4a283b4beae01f2f2f063acd2b6b24d9c82814e78f48b4	4018721	revisione relatrice (PDF)	04_KNOWLEDGE/Relatrice/prima-revisione-2026-05-27.pdf	copy	2026-06-30	correzione manoscritta, datata 27-05-26
_inbox/kimi-claw/kimi claw/downloads.zip!downloads/pdf_pages/page_1.png	b99951789378b058c059de2aa96b982eeac4616893817b9080c287a5f471e985	2305896	scansione relatrice (PNG full-res)	04_KNOWLEDGE/Relatrice/pages/page_1.png	copy	2026-06-30	pagina con annotazioni manoscritte
_inbox/kimi-claw/kimi claw/downloads.zip!downloads/pdf_pages/page_2.png	8ec8735ab9ec9461a90ee0c225bf32878862493960f4b07a58c25ec863b14a13	2320279	scansione relatrice (PNG full-res)	04_KNOWLEDGE/Relatrice/pages/page_2.png	copy	2026-06-30	pagina con annotazioni manoscritte
_inbox/kimi-claw/kimi claw/downloads.zip!downloads/pdf_pages/page_3.png	2c4d531a97c0c12e375512cbca876855e2fd9c8c97f2674f630c6461ee60b6ef	1707405	scansione relatrice (PNG full-res)	04_KNOWLEDGE/Relatrice/pages/page_3.png	copy	2026-06-30	pagina con annotazioni manoscritte
_inbox/kimi-claw/kimi claw/downloads.zip!downloads/pdf_pages/page_4.png	a0dae5c79e3d9c71de203e8bb52c53e5031e4679677d5f3472feb2992affca92	1514339	scansione relatrice (PNG full-res)	04_KNOWLEDGE/Relatrice/pages/page_4.png	copy	2026-06-30	pagina con annotazioni manoscritte
_inbox/kimi-claw/kimi claw/BIBLIOGRAPHY_MASTER_v1.0.md	fca96c96dbce0a117fde186a63ccd70032edb6fa1c1b1abedd03a175576c1b51	13558	artefatto	03_PROJECT/Bibliography-Master.md	copy	2026-06-30	bibliografia master v1.0
IDENTITY.md+SOUL.md	-	2682	persona	01_SYSTEM/Persona.md	extract	2026-06-30	persona companion, firewall D1
(firewall D1)	-	3074	sistema	01_SYSTEM/Conversation.md	merge	2026-06-30	aggiunto firewall persona ON/OFF
(firewall D1)	-	2193	sistema	01_SYSTEM/Identity.md	merge	2026-06-30	doppio tono conv/scrittura
MEMORY.md+USER.md(LTM)	-	4479	memoria	05_MEMORY/Permanent.md	merge	2026-06-30	regole operative + profilo utente
USER.md(STM)	-	4106	decisioni	03_PROJECT/Decisions.md	extract	2026-06-30	cronologia fasi + PLAT-04/05
Tesi_bibliografia/USER.md	-	2662	progetto	03_PROJECT/Thesis-State.md	merge	2026-06-30	identità progetto + stato materializzato
BIBLIOGRAPHY_MASTER	-	2047	progetto	03_PROJECT/Bibliography.md	merge	2026-06-30	indice → master + file libri
pdf_pages/page_1.png	-	2716	relatrice	04_KNOWLEDGE/Relatrice/transcription/page_1.md	extract	2026-06-30	trascrizione PROPOSTA
pdf_pages/page_2.png	-	2540	relatrice	04_KNOWLEDGE/Relatrice/transcription/page_2.md	extract	2026-06-30	trascrizione PROPOSTA
pdf_pages/page_3.png	-	2042	relatrice	04_KNOWLEDGE/Relatrice/transcription/page_3.md	extract	2026-06-30	trascrizione PROPOSTA
pdf_pages/page_4.png	-	1641	relatrice	04_KNOWLEDGE/Relatrice/transcription/page_4.md	extract	2026-06-30	trascrizione PROPOSTA
